Name,Type,Worth,Age,Gender
Sigrid Sorensen,Dairy,1425,19,F
Kirstie Eklund,Dairy,5556,37,F
Joshua Yamada,Dairy,3196,27,M
Conor Sato,Dairy,2642,18,M
Kanehiro Nishimura,Dairy,5537,48,M
Bianka Schulte,Oat,4129,45,F
Takumi Price,Oat,5075,37,F
Paulo Leger,Oat,1511,21,M
Taylor McCarthy,Oat,4029,40,F
Paresh Babu,Oat,1853,27,M
Lars Blomgren,Oat,1690,19,M
Lukas Solberg,Oat,4993,38,M
Yui Collins,Oat,8543,47,F
Abby Sato,Oat,1801,22,F
Paige Hall,Oat,1147,20,F
Thurston Sorensen,Oat,1660,21,M
James Morris,Oat,1949,21,M
Michael Solberg,Oat,10034,48,M
Kari Solberg,Oat,3383,25,F
Leon Jensen,Oat,1892,30,M
Jade Wilson,Pig,3635,25,F
Tineka Sorensen,Pig,1407,29,F
Jagan Achari,Pig,1126,18,M
Marcel Solberg,Pig,1232,19,M
Hallmar Blomgren,Pig,1291,26,M
Peter Jung,Pig,6346,38,M
Yojiro Fukuda,Pig,4815,31,M
Tatsuya McCarthy,Pig,794,25,M
Per Peters,Pig,3785,59,M
Emma Connolly,Pig,9845,38,F
Ami Morris,Pig,4010,24,F
Dane Carlsen,Pig,3435,38,M
Alisha Gadhavi,Poultry,4764,33,F
Gaku Fujihara,Poultry,839,27,M
Krisha Mangal,Poultry,2877,32,F
Ole Sorensen,Poultry,8895,45,M
Desmond Kimura,Poultry,4352,27,M
Julia Madsen,Poultry,4941,46,F
Malik Giraud,Poultry,3668,23,M
Conrad Docherty,Sheep,2607,32,M
Arne Bachmann,Sheep,7087,44,M
Taahira Pillai,Sheep,4567,25,F
Edgar Kimura,Sheep,3407,29,M
Roselyne Georges,Sheep,2564,31,F
